StudentId,CourseId,Section no,seat no
39,23,1,152
39,11,2,133
39,146,1,45
40,64,2,36
40,51,1,40
40,43,1,41
40,122,1,150
41,110,2,42
41,121,2,37
41,64,1,44
42,66,2,31
42,146,2,40
42,128,2,30
43,138,1,40
43,107,2,43
43,29,1,37
44,21,1,37
44,125,2,45
44,102,2,46
44,90,1,35
45,129,2,52
45,24,2,41
45,72,2,36
46,76,1,30
46,8,1,30
46,121,1,51
47,71,2,33
47,28,2,36
47,107,1,41
48,124,2,50
48,38,2,37
48,139,2,151
49,60,1,36
49,45,2,50
49,118,2,36
50,39,2,36
50,137,1,45
50,99,2,32
51,114,2,31
51,84,2,37
51,73,1,134
52,120,2,51
52,113,1,41
52,13,2,42
53,96,2,135
53,5,1,150
53,49,2,151
54,123,2,37
54,2,1,151
54,80,1,42
55,10,1,150
55,121,1,52
55,42,2,37
56,145,2,133
56,146,1,46
56,80,1,43
57,131,1,135
57,146,1,47
57,50,1,134
58,137,2,36
58,71,1,39
58,75,1,50
59,99,1,40
59,1,2,38
59,56,2,43
59,112,2,36
60,71,1,40
60,19,1,97
60,9,1,37
61,130,1,41
61,82,1,37
61,25,2,36
62,49,1,135
62,75,2,36
62,58,1,137
63,109,2,32
63,90,2,32
63,98,1,134
64,19,1,98
64,20,1,48
64,40,2,97
65,134,2,49
65,79,2,40
65,67,1,41
66,56,2,44
66,114,1,44
66,76,2,135
67,24,2,42
67,72,1,38
67,141,1,37
68,132,2,51
68,130,1,42
68,90,2,33
69,103,1,45
69,102,2,47
69,150,1,36
70,22,1,41
70,92,1,31
70,137,1,46
71,59,2,32
71,125,1,43
71,1,1,151
72,4,2,50
72,43,1,42
72,53,1,41
73,63,2,50
73,50,2,133
73,98,2,48
74,123,2,38
74,24,2,43
74,120,2,52
75,35,1,36
75,119,2,49
75,117,2,49
76,114,1,45
76,119,2,50
76,20,1,49
77,47,2,51
77,77,2,35
77,105,2,44
78,112,2,37
78,1,1,152
78,71,1,41
79,147,2,151
79,110,1,30
79,118,1,151
80,133,2,152
80,99,2,33
80,124,2,51
81,115,1,36
81,126,1,41
81,148,1,33
82,39,1,40
82,54,2,37
82,2,1,152
83,59,1,51
83,149,2,41
83,3,2,45
84,84,1,35
84,149,2,42
84,147,1,30
85,75,1,51
85,100,1,44
85,94,2,40
85,92,2,37
86,18,2,36
86,88,1,36
86,61,1,36
87,116,1,49
87,4,1,31
87,22,2,35
88,65,2,44
88,68,1,41
88,10,2,31
89,112,1,39
89,150,1,37
89,95,1,37
90,143,2,44
90,116,2,96
90,145,1,40
91,2,1,153
91,36,1,35
91,48,1,36
92,37,1,153
92,56,1,49
92,130,1,43
93,32,1,45
93,149,2,43
93,87,2,42
94,132,1,41
94,80,1,44
94,32,1,46
94,85,2,38
95,109,2,33
95,57,1,39
95,119,2,51
96,144,2,35
96,1,1,153
96,113,1,42
97,102,1,97
97,116,1,50
97,66,1,133
98,28,1,40
98,103,1,46
98,45,1,134
99,19,2,45
99,52,2,49
99,32,2,39
100,86,1,36
100,67,2,150
100,104,2,35
101,13,2,43
101,51,2,37
101,65,1,30
102,140,1,96
102,106,2,38
102,10,2,32
103,50,1,135
103,139,2,152
103,147,2,152
104,48,1,37
104,87,1,35
104,117,2,50
105,37,1,154
105,85,2,39
105,126,1,42
106,38,1,49
106,16,2,41
106,15,2,44
107,105,2,45
107,102,2,48
107,136,1,150
107,143,1,38
108,119,1,41
108,43,1,43
108,74,1,41
109,115,2,44
109,4,1,32
109,139,1,35
110,2,1,154
110,96,1,42
110,89,2,37
110,148,2,35
111,68,1,42
111,13,1,48
111,112,2,38
112,140,2,40
112,19,2,46
112,23,1,153
113,120,2,53
113,89,1,134
113,127,2,37
114,30,1,36
114,140,2,41
114,103,1,47
115,129,2,53
115,70,2,97
115,83,1,37
115,82,1,38
116,40,1,35
116,93,2,136
116,95,1,38
117,137,2,37
117,41,1,38
117,142,2,43
118,79,1,40
118,9,1,38
118,30,1,37
119,133,2,153
119,72,1,39
119,80,1,45
120,106,2,39
120,78,2,151
120,97,1,32
121,112,1,40
121,102,1,98
121,103,1,48
121,59,2,33
122,135,1,52
122,70,1,40
122,101,1,31
123,97,2,36
123,26,1,38
123,69,1,36
124,46,2,49
124,34,1,36
124,43,1,44
125,141,1,38
125,24,1,41
125,92,1,32
126,44,2,35
126,26,1,39
126,103,1,49
127,83,2,41
127,112,2,39
127,38,2,38
128,19,1,99
128,25,2,37
128,46,2,50
129,92,1,33
129,137,1,47
129,32,2,40
129,111,1,151
130,6,2,151
130,57,1,40
130,61,2,36
131,79,1,41
131,23,2,97
131,21,1,38
131,101,1,32
132,86,1,37
132,75,2,37
132,16,1,36
133,102,1,99
133,19,1,100
133,135,2,42
134,17,2,50
134,78,2,152
134,55,2,37
135,41,1,39
135,130,1,44
135,127,2,38
136,123,2,39
136,42,2,38
136,139,2,153
137,118,1,152
137,41,1,40
137,12,2,134
138,78,1,36
138,100,1,45
138,58,1,138
139,115,2,45
139,56,2,45
139,74,1,42
140,17,1,36
140,3,1,37
140,89,2,38
141,113,1,43
141,9,1,39
141,109,2,34
141,97,1,33
142,88,2,42
142,150,2,38
142,40,2,98
143,150,2,39
143,77,1,49
143,130,2,44
144,75,1,52
144,117,2,51
144,124,1,37
145,5,2,98
145,12,2,135
145,6,1,32
145,111,1,152
146,12,2,136
146,34,1,37
146,43,1,45
147,12,2,137
147,53,1,42
147,63,1,39
148,3,2,46
148,18,2,37
148,39,2,37
148,126,1,43
149,12,2,138
149,50,1,136
149,73,1,135
149,53,1,43
150,58,2,36
150,50,1,137
150,34,2,134
151,86,1,38
151,64,2,37
151,113,1,44
151,30,2,31
152,121,1,53
152,74,1,43
152,20,2,50
153,67,1,42
153,76,2,136
153,101,2,31
154,29,1,38
154,76,2,137
154,19,2,47
155,51,2,38
155,74,2,52
155,121,1,54
156,40,2,99
156,30,1,38
156,140,2,42
157,60,1,37
157,96,2,136
157,1,1,154
157,108,2,96
158,48,1,38
158,107,1,42
158,121,2,38
159,119,2,52
159,2,1,155
159,21,1,39
159,105,2,46
160,86,1,39
160,9,2,37
160,102,2,49
160,29,1,39
161,70,2,98
161,26,2,41
161,59,2,34
162,86,1,40
162,147,2,153
162,118,2,37
162,43,1,46
163,86,1,41
163,34,1,38
163,123,2,40
164,130,2,45
164,101,1,33
164,105,2,47
165,123,2,41
165,53,1,44
165,51,2,39
166,5,2,99
166,80,1,46
166,6,1,33
167,96,1,43
167,56,2,46
167,120,2,54
168,117,2,52
168,100,2,151
168,78,2,153
169,105,1,41
169,119,2,53
169,136,2,39
170,23,2,98
170,71,1,42
170,64,2,38
171,105,2,48
171,126,1,44
171,101,2,32
171,149,1,36
172,23,1,154
172,21,1,40
172,74,2,53
173,71,2,34
173,92,1,34
173,68,1,43
173,21,2,43
174,30,1,39
174,89,2,39
174,118,2,38
175,130,1,45
175,132,2,52
175,128,1,50
176,116,1,51
176,102,2,50
176,126,1,45
177,2,1,156
177,132,1,42
177,11,1,44
178,92,1,35
178,36,2,98
178,90,2,34
178,65,2,45
179,55,2,38
179,78,1,37
179,126,1,46
180,12,1,36
180,100,2,152
180,49,1,136
181,6,1,34
181,43,1,47
181,88,2,43
182,119,1,42
182,139,2,154
182,147,2,154
183,42,2,39
183,115,2,46
183,75,1,53
184,60,1,38
184,59,2,35
184,72,1,40
185,19,2,48
185,132,2,53
185,71,2,35
186,129,2,54
186,130,2,46
186,93,2,137
187,43,1,48
187,12,2,139
187,103,1,50
188,78,2,154
188,9,2,38
188,137,2,38
189,30,1,40
189,26,2,42
189,33,2,39
190,117,1,150
190,137,1,48
190,89,2,40
191,63,1,40
191,106,2,40
191,105,1,42
192,72,1,41
192,42,2,40
192,69,1,37
192,62,1,37
193,32,1,47
193,5,2,100
193,83,1,38
194,81,2,44
194,148,1,34
194,60,1,39
195,48,1,39
195,71,1,43
195,66,2,32
196,54,2,38
196,70,2,99
196,41,1,41
197,109,1,44
197,6,2,152
197,150,2,40
197,64,2,39
198,45,1,135
198,75,1,54
198,81,2,45
199,26,2,43
199,91,2,41
199,101,1,34
199,74,1,44
200,148,1,35
200,27,2,51
200,9,1,40
201,12,2,140
201,79,1,42
201,78,2,155
202,101,1,35
202,55,2,39
202,131,1,136
202,26,1,40
203,90,2,35
203,19,1,101
203,108,1,35
203,106,2,41
204,34,1,39
204,31,1,37
204,67,1,43
205,148,1,36
205,113,1,45
205,2,1,157
206,16,1,37
206,126,1,47
206,100,1,46
206,80,1,47
207,23,1,155
207,20,1,50
207,90,2,36
208,83,2,42
208,149,2,44
208,150,2,41
209,113,1,46
209,91,2,42
209,74,1,45
210,72,1,42
210,16,2,42
210,73,1,136
211,124,1,38
211,6,1,35
211,74,2,54
212,38,1,50
212,130,1,46
212,71,1,44
213,60,1,40
213,91,1,36
213,82,1,39
214,91,1,37
214,107,1,43
214,38,1,51
215,59,1,52
215,105,2,49
215,18,2,38
216,3,2,47
216,134,1,30
216,4,1,33
217,109,2,35
217,15,2,45
217,72,1,43
218,127,2,39
218,107,1,44
218,27,2,52
218,113,1,47
219,54,1,35
219,27,2,53
219,20,1,51
220,60,1,41
220,78,1,38
220,37,1,155
221,96,1,44
221,45,1,136
221,146,1,48
222,97,1,34
222,118,2,39
222,150,1,38
223,126,1,48
223,13,2,44
223,115,2,47
224,23,2,99
224,75,1,55
224,52,1,39
225,55,2,40
225,105,2,50
225,9,2,39
225,31,1,38
226,118,1,153
226,112,2,40
226,74,2,55
227,86,1,42
227,93,2,138
227,40,2,100
228,71,2,36
228,16,2,43
228,111,1,153
229,81,2,46
229,40,2,101
229,110,2,43
230,22,1,42
230,23,1,156
230,95,1,39
231,59,1,53
231,137,2,39
231,45,1,137
232,4,1,34
232,11,1,45
232,53,1,45
233,5,2,101
233,60,1,42
233,71,2,37
234,60,1,43
234,52,2,50
234,132,2,54
235,134,2,50
235,70,2,100
235,9,2,40
236,119,1,43
236,26,1,41
236,102,1,100
237,150,2,42
237,54,2,39
237,57,1,41
238,114,2,32
238,78,2,156
238,72,1,44
239,38,2,39
239,135,1,53
239,33,2,40
240,34,1,40
240,50,1,138
240,43,2,51
241,130,2,47
241,16,1,38
241,36,2,99
242,121,1,55
242,16,2,44
242,113,1,48
242,137,2,40
243,88,2,44
243,102,1,101
243,96,2,137
243,81,2,47
244,28,2,37
244,3,2,48
244,95,1,40
245,43,1,49
245,116,1,52
245,83,2,43
246,99,2,34
246,123,2,42
246,59,2,36
247,123,2,43
247,34,1,41
247,2,1,158
248,110,2,44
248,101,2,33
248,3,1,38
249,77,1,50
249,38,1,52
249,88,2,45
250,74,1,46
250,62,2,39
250,78,2,157
251,99,2,35
251,69,1,38
251,139,2,155
252,92,2,38
252,28,2,38
252,88,2,46
253,53,1,46
253,23,1,157
253,92,1,36
253,136,2,40
254,79,1,43
254,71,1,45
254,114,1,46
255,24,2,44
255,56,2,47
255,70,2,101
255,130,2,48
256,75,2,38
256,118,1,154
256,82,2,36
256,99,2,36
257,97,1,35
257,137,2,41
257,17,1,37
258,6,1,36
258,55,2,41
258,45,1,138
259,71,2,38
259,62,2,40
259,87,2,43
260,52,1,40
260,34,1,42
260,124,2,52
261,102,1,102
261,83,1,39
261,53,1,47
262,150,1,39
262,56,1,50
262,19,1,102
263,50,1,139
263,5,2,102
263,53,1,48
264,76,2,138
264,32,1,48
264,15,2,46
265,101,2,34
265,53,1,49
265,69,1,39
265,140,2,43
266,72,1,45
266,52,2,51
266,101,2,35
267,76,2,139
267,43,2,52
267,123,2,44
267,118,1,155
268,20,1,52
268,53,1,50
268,122,2,49
269,15,2,47
269,16,2,45
269,100,2,153
270,42,1,135
270,96,2,138
270,137,2,42
271,25,2,38
271,90,2,37
271,58,1,139
272,131,1,137
272,92,2,39
272,43,2,53
273,41,2,42
273,81,2,48
273,101,2,36
274,74,2,56
274,26,1,42
274,135,2,43
274,80,1,48
275,134,2,51
275,54,2,40
275,124,1,39
276,95,1,41
276,114,1,47
276,57,1,42
277,117,2,53
277,59,1,54
277,118,2,40
277,5,2,103
278,118,1,156
278,111,1,154
278,74,2,57
279,30,2,32
279,24,1,42
279,45,1,139
280,141,2,31
280,81,2,49
280,148,1,37
281,67,1,44
281,42,1,136
281,22,1,43
282,72,1,46
282,75,2,39
282,25,2,39
283,96,2,139
283,85,2,40
283,101,2,37
284,12,2,141
284,75,2,40
284,132,2,55
285,64,2,40
285,52,2,52
285,88,1,37
286,53,1,51
286,63,1,41
286,72,1,47
287,95,1,42
287,23,2,100
287,85,2,41
288,128,1,51
288,76,2,140
288,107,1,45
289,82,1,40
289,69,2,36
289,93,2,139
290,20,2,51
290,96,2,140
290,47,2,52
291,58,1,140
291,6,2,153
291,106,2,42
291,33,2,41
292,54,2,41
292,25,2,40
292,67,1,45
293,82,1,41
293,129,2,55
293,58,1,141
294,39,2,38
294,107,1,46
294,123,2,45
295,43,2,54
295,24,2,45
295,120,2,55
296,86,1,43
296,88,1,38
296,100,1,47
297,147,2,155
297,33,2,42
297,58,1,142
298,18,2,39
298,137,1,49
298,126,1,49
299,4,1,35
299,97,1,36
299,16,2,46
300,118,2,41
300,60,1,44
300,123,2,46
301,38,1,53
301,94,1,41
301,39,2,39
302,105,2,51
302,125,2,46
302,16,1,39
303,147,2,156
303,1,1,155
303,80,1,49
304,122,2,50
304,84,2,38
304,36,2,100
304,79,1,44
305,144,1,41
305,105,1,43
305,111,1,155
306,79,1,45
306,20,2,52
306,118,2,42
307,6,2,154
307,136,2,41
307,57,1,43
308,49,2,152
308,85,2,42
308,67,1,46
309,94,1,42
309,42,2,41
309,132,2,56
310,24,1,43
310,110,2,45
310,47,2,53
310,78,1,39
311,76,2,141
311,58,1,143
311,80,1,50
312,100,1,48
312,146,1,49
312,102,2,51
313,15,2,48
313,38,2,40
313,107,1,47
314,52,1,41
314,86,1,44
314,68,1,44
315,92,2,40
315,113,1,49
315,127,2,40
316,73,1,137
316,109,2,36
316,42,2,42
317,92,2,41
317,127,2,41
317,42,2,43
318,62,1,38
318,46,2,51
318,117,2,54
319,32,2,41
319,45,1,140
319,132,1,43
320,65,2,46
320,90,2,38
320,66,2,33
321,39,2,40
321,43,1,50
321,82,2,37
322,18,2,40
322,132,1,44
322,93,2,140
323,16,1,40
323,93,2,141
323,114,2,33
324,62,2,41
324,24,2,46
324,150,1,40
324,103,1,51
325,6,2,155
325,93,2,142
325,103,1,52
326,21,1,41
326,133,2,154
326,149,2,45
327,93,2,143
327,83,2,44
327,124,1,40
328,22,1,44
328,65,2,47
328,120,2,56
329,114,2,34
329,105,1,44
329,59,2,37
330,32,2,42
330,68,1,45
330,37,1,156
331,130,1,47
331,30,2,33
331,38,1,54
332,130,1,48
332,62,2,42
332,61,1,37
332,124,1,41
333,119,1,44
333,24,2,47
333,30,2,34
334,95,1,43
334,119,1,45
334,67,1,47
335,101,2,38
335,30,2,35
335,82,2,38
336,86,1,45
336,115,2,48
336,92,2,42
336,9,1,41
337,67,1,48
337,116,1,53
337,18,2,41
337,16,1,41
338,141,1,39
338,107,1,48
338,137,1,50
339,75,1,56
339,110,2,46
339,115,2,49
340,52,1,42
340,74,2,58
340,110,2,47
341,15,2,49
341,43,1,51
341,6,2,156
342,22,1,45
342,83,2,45
342,130,1,49
343,9,1,42
343,91,2,43
343,63,1,42
344,105,1,45
344,24,2,48
344,100,1,49
345,52,1,43
345,118,2,43
345,41,2,43
346,126,1,50
346,75,1,57
346,107,1,49
347,49,1,137
347,27,2,54
347,150,2,43
347,101,2,39
348,21,1,42
348,31,1,39
348,41,1,42
349,19,2,49
349,65,2,48
349,21,1,43
350,114,1,48
350,46,2,52
350,6,1,37
351,80,1,51
351,136,2,42
351,3,2,49
352,107,1,50
352,96,2,141
352,16,2,47
353,147,2,157
353,150,1,41
353,24,2,49
354,95,1,44
354,9,1,43
354,24,2,50
355,86,1,46
355,20,1,53
355,66,2,34
356,69,1,40
356,1,1,156
356,118,1,157
357,85,2,43
357,40,2,102
357,124,2,53
358,11,1,46
358,12,1,37
358,124,2,54
359,95,2,49
359,43,2,55
359,132,1,45
360,109,2,37
360,150,1,42
360,43,1,52
361,112,1,41
361,99,2,37
361,84,2,39
362,144,1,42
362,150,2,44
362,75,2,41
363,83,1,40
363,71,2,39
363,69,2,37
364,112,1,42
364,97,2,37
364,103,1,53
365,150,2,45
365,110,2,48
365,118,1,158
366,41,1,43
366,28,2,39
366,105,1,46
367,81,2,50
367,22,1,46
367,59,1,55
368,97,2,38
368,66,2,35
368,72,1,48
369,95,1,45
369,46,2,53
369,43,2,56
370,97,1,37
370,56,1,51
370,150,1,43
371,146,1,50
371,63,1,43
371,64,2,41
372,66,2,36
372,26,2,44
372,13,2,45
372,80,1,52
373,33,2,43
373,60,1,45
373,25,2,41
374,40,2,103
374,36,2,101
374,17,1,38
375,26,2,45
375,129,2,56
375,117,2,55
376,150,1,44
376,97,2,39
376,95,2,50
377,111,1,156
377,114,1,49
377,42,1,137
378,49,2,153
378,86,1,47
378,116,1,54
378,106,2,43
379,141,1,40
379,55,2,42
379,135,1,54
380,62,2,43
380,26,2,46
380,91,2,44
381,64,2,42
381,133,2,155
381,30,1,41
382,30,2,36
382,140,2,44
382,20,2,53
382,9,2,41
383,124,1,42
383,63,1,44
383,114,1,50
384,23,2,101
384,61,1,38
384,12,1,38
385,20,2,54
385,146,1,51
385,81,2,51
386,103,1,54
386,131,1,138
386,59,2,38
387,13,2,46
387,105,1,47
387,124,2,55
387,103,1,55
388,112,1,43
388,19,2,50
388,26,1,43
388,76,2,142
389,23,2,102
389,62,1,39
389,24,2,51
390,23,2,103
390,73,1,138
390,27,2,55
390,65,2,49
391,128,1,52
391,13,2,47
391,62,2,44
392,17,1,39
392,135,1,55
392,131,1,139
393,30,2,37
393,37,1,157
393,40,2,104
394,31,1,40
394,69,2,38
394,25,2,42
395,42,2,44
395,150,2,46
395,119,1,46
395,121,1,56
396,24,2,52
396,78,2,158
396,4,1,36
397,20,1,54
397,55,2,43
397,31,1,41
398,101,1,36
398,121,2,39
398,23,2,104
399,129,2,57
399,65,2,50
399,52,2,53
399,77,1,51
400,123,2,47
400,72,1,49
400,133,2,156
401,97,2,40
401,38,2,41
401,86,1,48
402,39,2,41
402,132,1,46
402,134,2,52
403,130,1,50
403,30,2,38
403,121,2,40
404,99,2,38
404,2,1,159
404,25,2,43
405,109,2,38
405,128,1,53
405,117,2,56
406,103,1,56
406,6,2,157
406,117,2,57
406,74,1,47
407,149,2,46
407,130,2,49
407,3,2,50
408,89,2,41
408,62,1,40
408,9,1,44
409,38,1,55
409,137,2,43
409,32,2,43
410,130,1,51
410,39,2,42
410,79,1,46
411,12,1,39
411,147,2,158
411,126,1,51
412,68,1,46
412,97,1,38
412,59,2,39
413,27,2,56
413,9,2,42
413,53,1,52
413,67,1,49
414,71,2,40
414,1,1,157
414,141,1,41
415,97,2,41
415,70,2,102
415,96,2,142
415,140,2,45
416,109,2,39
416,50,1,140
416,40,2,105
416,32,2,44
417,65,2,51
417,62,2,45
417,45,1,141
418,40,2,106
418,30,1,42
418,65,2,52
419,149,2,47
419,75,1,58
419,135,1,56
419,23,2,105
420,120,1,37
420,124,1,43
420,52,2,54
420,43,2,57
421,43,1,53
421,49,1,138
421,85,2,44
422,86,1,49
422,6,1,38
422,3,2,51
423,60,1,46
423,97,2,42
423,89,2,42
423,42,2,45
424,67,1,50
424,12,1,40
424,39,2,43
425,118,2,44
425,95,1,46
425,71,1,46
426,3,2,52
426,74,1,48
426,150,1,45
427,4,1,37
427,49,2,154
427,76,2,143
428,41,2,44
428,120,1,38
428,85,2,45
428,83,1,41
429,38,2,42
429,92,2,43
429,91,1,38
430,129,2,58
430,136,2,43
430,117,2,58
430,27,2,57
431,96,1,45
431,24,2,53
431,74,1,49
432,37,1,158
432,39,2,44
432,140,2,46
433,54,2,42
433,94,1,43
433,24,2,54
434,122,2,51
434,19,2,51
434,79,1,47
434,69,2,39
435,82,2,39
435,121,2,41
435,78,1,40
435,66,2,37
436,6,1,39
436,120,1,39
436,106,2,44
437,39,2,45
437,36,2,102
437,64,2,43
438,94,1,44
438,124,2,56
438,42,2,46
439,15,2,50
439,59,2,40
439,86,1,50
440,139,2,156
440,24,2,55
440,59,1,56
440,141,1,42
441,130,2,50
441,34,1,43
441,5,2,104
442,111,1,157
442,5,2,105
442,96,2,143
443,22,1,47
443,13,2,48
443,117,2,59
444,73,1,139
444,110,2,49
444,66,2,38
445,97,2,43
445,99,2,39
445,133,2,157
445,74,2,59
446,27,2,58
446,62,1,41
446,105,2,52
447,77,1,52
447,9,2,43
447,83,2,46
448,97,2,44
448,15,2,51
448,112,1,44
448,80,1,53
449,18,2,42
449,85,2,46
449,134,2,53
449,119,2,54
450,131,1,140
450,65,2,53
450,59,2,41
451,147,2,159
451,148,1,38
451,119,1,47
452,135,2,44
452,26,2,47
452,24,1,44
453,88,2,47
453,67,1,51
453,122,2,52
453,102,2,52
454,6,1,40
454,132,1,47
454,95,2,51
455,80,1,54
455,48,1,40
455,111,1,158
456,141,2,32
456,11,1,47
456,53,1,53
457,33,2,44
457,113,1,50
457,95,2,52
458,82,1,42
458,102,1,103
458,97,2,45
459,12,1,41
459,16,1,42
459,30,1,43
460,76,2,144
460,64,2,44
460,70,2,103
461,54,2,43
461,77,1,53
461,139,2,157
462,134,2,54
462,90,2,39
462,31,1,42
462,88,1,39
463,12,2,142
463,1,1,158
463,120,2,57
464,33,2,45
464,73,1,140
464,125,2,47
464,120,2,58
465,119,1,48
465,26,1,44
465,86,1,51
466,42,1,138
466,126,1,52
466,49,2,155
467,96,1,46
467,85,2,47
467,139,2,158
467,49,2,156
468,15,2,52
468,51,2,40
468,26,1,45
469,9,1,45
469,66,2,39
469,81,2,52
469,83,1,42
470,49,2,157
470,12,1,42
470,91,2,45
471,56,1,52
471,131,1,141
471,24,1,45
472,101,2,40
472,43,2,58
472,71,1,47
472,65,2,54
473,41,2,45
473,80,1,55
473,26,1,46
474,135,2,45
474,85,2,48
474,31,1,43
475,49,1,139
475,84,2,40
475,62,1,42
476,5,2,106
476,132,2,57
476,40,2,107
477,82,1,43
477,67,1,52
477,62,1,43
478,21,1,44
478,150,2,47
478,101,2,41
479,70,2,104
479,48,1,41
479,68,1,47
480,95,1,47
480,140,2,47
480,77,1,54
481,150,2,48
481,42,2,47
481,49,1,140
482,124,1,44
482,73,1,141
482,91,1,39
483,92,2,44
483,27,2,59
483,111,1,159
484,56,1,53
484,124,2,57
484,49,1,141
484,94,1,45
485,97,1,39
485,59,2,42
485,101,1,37
486,52,1,44
486,2,1,160
486,20,1,55
487,43,1,54
487,88,2,48
487,101,1,38
488,83,2,47
488,120,2,59
488,129,2,59
489,89,2,43
489,16,1,43
489,69,2,40
490,88,2,49
490,128,1,54
490,23,2,106
491,77,1,55
491,106,2,45
491,39,2,46
491,137,1,51
492,150,1,46
492,69,2,41
492,73,1,142
493,124,2,58
493,21,1,45
493,71,1,48
494,112,2,41
494,73,1,143
494,60,1,47
495,94,1,46
495,140,2,48
495,17,1,40
496,77,1,56
496,74,1,50
496,141,1,43
497,21,1,46
497,119,2,55
497,149,2,48
498,48,1,42
498,75,2,42
498,47,2,54
499,50,1,141
499,146,1,52
499,89,2,44
500,81,2,53
500,89,2,45
500,43,1,55
501,23,1,158
501,135,1,57
501,47,2,55
502,29,1,40
502,121,1,57
502,26,1,47
502,32,2,45
503,29,1,41
503,60,1,48
503,95,2,53
504,89,2,46
504,74,1,51
504,20,2,55
505,41,1,44
505,2,1,161
505,17,1,41
506,28,2,40
506,125,2,48
506,62,1,44
507,130,1,52
507,93,2,144
507,17,1,42
508,71,1,49
508,37,1,159
508,6,2,158
509,56,2,48
509,69,1,41
509,84,2,41
510,59,2,43
510,33,2,46
510,73,1,144
511,92,1,37
511,42,2,48
511,31,1,44
512,76,2,145
512,75,2,43
512,133,2,158
513,18,2,43
513,78,2,159
513,56,2,49
513,30,2,39
514,70,2,105
514,117,2,60
514,109,2,40
514,51,2,41
515,119,2,56
515,59,2,44
515,101,1,39
516,75,1,59
516,48,1,43
516,41,2,46
517,96,2,144
517,1,1,159
517,70,2,106
518,57,1,44
518,70,2,107
518,87,2,44
518,113,1,51
519,59,2,45
519,127,2,42
519,81,2,54
520,81,2,55
520,136,2,44
520,92,1,38
520,68,1,48
521,62,2,46
521,117,2,61
521,103,1,57
521,150,1,47
522,86,1,52
522,118,1,159
522,120,1,40
523,69,2,42
523,42,2,49
523,101,2,42
524,127,2,43
524,105,1,48
524,117,2,62
525,19,2,52
525,40,2,108
525,26,1,48
526,33,2,47
526,125,2,49
526,132,1,48
527,137,2,44
527,27,2,60
527,31,1,45
528,19,2,53
528,83,1,43
528,71,2,41
529,71,2,42
529,12,2,143
529,107,1,51
529,40,2,109
530,31,1,46
530,91,1,40
530,62,2,47
530,129,2,60
531,26,2,48
531,70,2,108
531,30,1,44
532,56,1,54
532,150,1,48
532,16,2,48
533,97,2,46
533,6,1,41
533,32,1,49
534,73,1,145
534,137,1,52
534,94,1,47
535,56,1,55
535,90,2,40
535,16,2,49
536,107,1,52
536,62,1,45
536,61,1,39
537,3,1,39
537,64,2,45
537,125,2,50
537,129,2,61
538,116,1,55
538,81,2,56
538,150,1,49
539,114,1,51
539,96,2,145
539,150,1,50
540,3,1,40
540,148,1,39
540,127,2,44
540,149,2,49
541,46,2,54
541,69,2,43
541,131,1,142
542,32,2,46
542,3,1,41
542,128,1,55
543,136,2,45
543,118,1,160
543,43,2,59
544,106,2,46
544,144,1,43
544,150,1,51
545,41,1,45
545,67,1,53
545,83,2,48
546,29,1,42
546,4,1,38
546,40,2,110
547,144,1,44
547,75,1,60
547,57,1,45
547,116,1,56
548,26,2,49
